Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
2020-21,2020-10-04,Cadiz,4,5,6,8,1.0,1.0,Granada,5,7,6,7,1.0,2.0,D,1.0,0.0,1.0,1.0
2020-21,2020-10-04,Barcelona,7,0,6,10,5.0,0.0,Sevilla,4,1,6,9,0.0,0.0,D,1.0,1.0,1.0,1.0
2020-21,2020-10-17,Granada,6,8,7,5,2.0,2.0,Sevilla,5,2,7,9,1.0,1.0,H,1.0,0.0,0.0,0.0
2020-21,2020-10-17,Celta,3,7,5,12,2.0,2.0,Ath Madrid,6,1,5,13,1.0,0.0,A,0.0,0.0,2.0,1.0
2020-21,2020-10-17,Real Madrid,6,2,10,1,2.0,2.0,Cadiz,5,6,7,6,1.0,2.0,A,0.0,0.0,1.0,1.0
2020-21,2020-10-17,Getafe,4,3,7,8,3.0,1.0,Barcelona,8,1,7,10,6.0,1.0,H,1.0,0.0,0.0,0.0
2020-21,2020-10-18,Eibar,4,6,4,14,1.0,3.0,Osasuna,5,4,6,12,3.0,1.0,D,0.0,0.0,0.0,0.0
2020-21,2020-10-18,Ath Bilbao,2,5,3,18,1.0,0.0,Levante,5,8,3,19,3.0,4.0,H,2.0,0.0,0.0,0.0
2020-21,2020-10-18,Villarreal,6,7,8,7,2.0,6.0,Valencia,7,7,7,9,3.0,4.0,H,2.0,1.0,1.0,1.0
2020-21,2020-10-18,Alaves,3,6,4,15,2.0,3.0,Elche,1,3,4,17,1.0,0.0,A,0.0,0.0,2.0,1.0
2020-21,2020-10-18,Huesca,2,4,4,16,1.0,2.0,Valladolid,3,7,2,20,2.0,4.0,D,2.0,0.0,2.0,1.0
2020-21,2020-10-18,Betis,7,6,9,5,5.0,4.0,Sociedad,7,2,8,6,1.0,1.0,A,0.0,0.0,3.0,1.0
2020-21,2020-10-23,Elche,3,3,7,11,2.0,0.0,Valencia,4,7,4,10,2.0,3.0,H,2.0,2.0,1.0,0.0
2020-21,2020-10-24,Barcelona,8,2,7,13,6.0,1.0,Real Madrid,6,3,10,6,2.0,3.0,A,1.0,1.0,3.0,1.0
2020-21,2020-10-24,Osasuna,5,4,7,10,3.0,1.0,Ath Bilbao,4,5,6,14,1.0,0.0,H,1.0,0.0,0.0,0.0
2020-21,2020-10-24,Sevilla,5,3,7,12,1.0,1.0,Eibar,4,6,4,15,1.0,3.0,A,0.0,0.0,1.0,1.0
2020-21,2020-10-24,Ath Madrid,8,1,8,9,2.0,0.0,Betis,6,9,6,8,5.0,5.0,H,2.0,0.0,0.0,0.0
2020-21,2020-10-25,Valladolid,4,8,2,19,2.0,4.0,Alaves,3,7,4,18,2.0,4.0,A,0.0,0.0,2.0,0.0
